q_id,doc_id,Gender,InferredGender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,1493,0,0,Ron Anderson,14,13.0,7859
1,1501,0,0,Michael Cage,15,13.35,8278
1,1505,0,0,Ron Cavenall,2,5.75,84
1,1508,0,0,Kenton Edelin,1,3.3,11
1,1509,0,0,Kenny Fields,6,11.9,1534
1,1522,0,0,Jay Murphy,4,6.9,160
1,1523,0,0,Hakeem Olajuwon*,18,22.91,26946
1,1524,0,0,Sam Perkins,19,15.29,16360
1,1528,0,0,Alvin Robertson,12,16.17,11500
1,1533,0,0,Charlie Sitton,1,8.0,91
1,1536,0,0,John Stockton*,19,21.47,19711
1,1540,0,0,Jeff Turner,10,8.06,3697
1,1544,0,0,Dale Wilkinson,3,-3.9,28
1,1563,0,0,Jeff Cross,1,1.5,26
1,1564,0,0,Joe Dumars*,14,15.16,16401
1,1571,0,0,Steve Harris,7,13.11,1975
1,1573,0,0,Carl Henry,1,12.5,78
1,1577,0,0,Harold Keeling,1,16.1,44
1,1580,0,0,Keith Lee,3,12.2,1114
1,1583,0,0,Brian Martin,3,-0.7,12
1,1590,0,0,Chris Mullin*,16,17.79,17911
1,1593,0,0,Ed Pinckney,16,14.44,6774
1,1610,0,0,Gerald Wilkins,13,10.18,11736
1,1613,0,0,Rafael Addison,6,10.45,2186
1,1620,0,0,Ben Coleman,7,12.11,2087
1,1621,0,0,Dell Curry,16,15.68,12670
1,1624,0,0,Bruce Douglas,1,5.7,14
1,1636,0,0,Buck Johnson,7,11.94,4617
1,1638,0,0,Anthony Jones,7,10.59,993
1,1656,0,0,Johnny Rogers,2,9.0,251
1,1659,0,0,Brad Sellers,8,10.24,2773
1,1660,0,1,McKinley Singleton,1,13.3,4
1,1668,0,0,Kenny Walker,7,11.1,3128
1,1669,0,0,Chris Washburn,4,9.2,312
1,1680,0,0,Nate Blackwell,1,6.1,37
1,1692,0,0,Horace Grant,17,15.49,12996
1,1698,0,0,Michael Jackson,3,7.53,188
1,1699,0,0,Kannard Johnson,1,-4.6,2
1,1702,0,0,Ralph Lewis,5,6.96,239
1,1711,0,0,Martin Nessley,3,2.67,96
1,1718,0,0,Kenny Smith,15,13.86,10640
1,1727,0,0,Tony White,4,5.6,522
1,1728,0,0,Reggie Williams,24,12.2,10493
1,1730,0,0,Ricky Wilson,3,12.23,250
1,1731,0,0,Rickie Winslow,1,-3.4,7
1,1733,0,0,Phil Zevenbergen,1,13.7,30
1,1735,0,0,Michael Anderson,1,10.5,204
1,1736,0,0,Willie Anderson,11,12.44,7513
1,1763,0,0,Jack Haley,11,9.78,1541
1,1764,0,0,Hersey Hawkins,13,15.89,14470
1,1766,0,1,Avery Johnson,22,13.61,10058
1,1767,0,0,Bill Jones,1,13.9,129
1,1773,0,0,Eric Leckner,12,7.1,2193
1,1774,0,0,Jim Les,9,8.01,1233
1,1780,0,0,Todd Mitchell,3,3.83,246
1,1783,0,0,Craig Neal,4,6.77,272
1,1789,0,0,Mitch Richmond*,14,16.97,20497
1,1793,0,0,Jim Rowinski,4,16.75,64
1,1807,0,0,Kelvin Upshaw,8,10.26,1028
1,1808,0,0,Morlon Wiley,16,9.91,1703
1,1815,0,0,Kenny Battle,8,13.81,998
1,1817,0,0,Mookie Blaylock,13,15.99,11962
1,1821,0,0,Torgeir Bryn,1,9.1,4
1,1824,0,0,Lanard Copeland,2,7.0,90
1,1830,0,1,Blue Edwards,12,12.3,8044
1,1835,0,0,Greg Grant,11,8.99,1075
1,1844,0,0,Nate Johnston,3,15.5,92
1,1845,0,0,Shawn Kemp,14,18.35,15347
1,1854,0,0,Roy Marble,2,1.0,55
1,1859,0,1,Mel McCants,1,5.1,22
1,1860,0,0,George McCloud,14,12.17,7583
1,1862,0,0,Scott Meents,2,10.65,72
1,1869,0,0,Drazen Petrovic*,6,16.22,5084
1,1879,0,0,Jeff Sanders,4,7.95,112
1,1883,0,0,Leonard Taylor,1,3.8,11
1,1887,0,0,Doug West,12,9.98,6477
1,1892,0,0,Mahmoud Abdul-Rauf,9,14.88,8553
1,1897,0,0,Anthony Bonner,6,11.45,2199
1,1905,0,0,Cedric Ceballos,17,17.55,10219
1,1906,0,0,Richard Coffey,1,7.9,68
1,1911,0,0,Mario Elie,13,11.82,6502
1,1912,0,0,A.J. English,2,11.55,1502
1,1914,0,0,Greg Foster,17,9.32,3048
1,1922,0,0,Sean Higgins,8,6.81,1666
1,1923,0,0,Tyrone Hill,18,12.72,8169
1,1924,0,0,Dave Jamerson,5,0.6,308
1,1932,0,0,Ian Lockhart,1,76.3,4
1,1937,0,0,Jerrod Mustaf,4,10.92,721
1,1941,0,0,Gerald Paddio,6,8.62,768
1,1942,0,0,Walter Palmer,2,10.65,100
1,1949,0,0,Dennis Scott,14,12.25,9216
1,1968,0,0,Isaac Austin,11,12.88,4340
1,1970,0,0,David Benoit,9,11.53,3875
1,1971,0,0,Terrell Brandon,13,19.22,10495
1,1973,0,0,Myron Brown,1,14.7,9
1,1979,0,0,Chris Corchiani,5,14.28,460
1,1987,0,0,Paul Graham,3,13.5,1499
1,1990,0,0,Donald Hodge,7,9.06,1200
1,1996,0,0,Luc Longley,12,11.6,4618
1,2001,0,1,Tracy Moore,5,16.64,833
1,2009,0,0,Bobby Phills,9,13.63,5153
1,2011,0,0,Stanley Roberts,8,11.38,2555
1,2013,0,0,LaBradford Smith,5,13.68,1550
1,2028,0,0,Alex Blackwell,1,8.2,34
1,2032,0,0,Doug Christie,19,11.94,10061
1,2035,0,0,John Crotty,13,14.24,2062
1,2036,0,0,Radisav Curcic,1,13.5,58
1,2039,0,0,Todd Day,10,13.16,6839
1,2040,0,0,Richard Dumas,3,15.1,1080
1,2053,0,0,Thomas Jordan,1,6.9,44
1,2057,0,0,Don MacLean,9,11.27,3490
1,2058,0,0,Marlon Maxey,2,15.6,479
1,2061,0,0,Harold Miner,4,11.1,1801
1,2069,0,0,Anthony Peeler,15,13.13,8486
1,2070,0,0,Brent Price,9,11.49,2481
1,2074,0,0,Chris Smith,4,8.12,1140
1,2076,0,0,Andre Spencer,6,10.25,692
1,2077,0,0,Elmore Spencer,7,3.13,937
1,2079,0,0,Barry Stevens,1,15.2,2
1,2087,0,0,Walt Williams,15,14.14,9988
1,2090,0,0,Vin Baker,17,11.42,12405
1,2092,0,0,Shawn Bradley,16,15.69,8657
1,2109,0,0,Chad Gallagher,1,66.8,6
1,2111,0,0,Ricky Grace,1,10.8,4
1,2115,0,0,Geert Hammink,5,14.22,22
1,2123,0,0,Bobby Hurley,7,8.59,1282
1,2133,0,0,George Lynch,12,12.54,5109
1,2140,0,0,Darren Morningstar,3,12.37,192
1,2143,0,0,Mike Peplowski,5,8.26,201
1,2147,0,0,Eric Riley,5,12.62,574
1,2150,0,0,Bryon Russell,13,12.36,6663
1,2161,0,0,Derrick Alston,3,4.8,751
1,2165,0,0,James Blackwell,3,12.2,36
1,2169,0,0,Yinka Dare,4,-4.02,233
