PlayerName,NumSeasons,AvgPER,CareerPoints,Gender
Charlie Paulk,5,6.96,804,M
Loy Petersen,2,9.45,199,M
Bob Quick,6,14.23,997,M
Craig Raymond,1,7.6,55,M
Mike Riordan,11,10.1,6884,M
Dale Schlueter,10,12.11,3130,M
Doug Sims,1,5.0,4,M
Greg Smith,17,9.67,5965,M
John Trapp,7,11.03,2498,M
Wes Unseld*,13,15.75,10624,M
Dwight Waller,1,2.3,7,M
Cliff Williams,1,-3.5,4,M
Ron Williams,8,12.44,4797,M
Sam Williams,8,12.85,2383,M
Kareem Abdul-Jabbar*,20,24.08,38387,M
Lucius Allen,12,15.02,10667,M
Wally Anderzunas,1,8.8,159,M
John Arthurs,1,11.3,35,M
Johnny Baum,2,7.7,292,M
Butch Beard,11,14.24,6222,M
Fred Carter,12,12.24,10831,M
Bob Dandridge,13,15.49,15530,M
Mike Davis,5,14.02,2203,M
Dick Garrett,7,9.07,3576,M
Herm Gilliam,8,13.71,6252,M
Bob Greacen,2,6.3,111,M
Lamar Green,6,10.33,1863,M
Connie Hawkins*,9,16.31,9232,M
Brian Heaney,1,8.3,28,M
Steve Kuberski,11,10.2,3455,M
Mike Lynn,2,3.45,126,M
Willie McCarter,3,8.93,1090,M
Steve Mix,15,15.23,8705,M
Grady O'Malley,1,8.6,50,M
Bud Ogden,2,12.8,257,M
Bob Portman,4,13.7,1254,M
Luther Rackley,7,8.87,1593,M
George Reynolds,1,18.8,21,M
Rick Roberson,7,12.77,3826,M
Dave Scholz,1,67.6,2,M
Bingo Smith,13,13.6,11775,M
Norm Van,12,13.71,9675,M
Neal Walk,10,15.59,7639,M
John Warren,5,11.28,1814,M
Jo Jo,17,11.93,15525,M
Bernie Williams,2,10.8,890,M
Lee Winfield,7,12.6,2959,M
Don Adams,11,9.45,5742,M
Tiny Archibald*,13,17.05,16481,M
Bob Arnzen,1,14.5,301,M
Dennis Awtrey,16,8.91,4023,M
Moe Barr,1,11.9,61,M
Tom Black,3,8.03,598,M
Bob Christian,4,12.4,942,M
Jimmy Collins,2,11.1,281,M
Joe Cooke,1,10.4,316,M
Dave Cowens*,11,16.67,13516,M
Pete Cross,5,7.06,1077,M
Terry Driscoll,7,9.24,1338,M
Claude English,1,3.8,27,M
