q_id,doc_id,Gender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,327,0,Jack Parr,1,7.9,262
1,328,0,Hub Reed,9,9.23,3292
1,330,0,Phil Rollins,8,9.97,1403
1,331,0,Larry Staverman,8,12.59,1502
1,333,0,Gary Alcorn,2,5.05,261
1,334,0,Bob Anderegg,1,9.3,133
1,335,0,Dick Barnett,14,13.99,15358
1,336,0,Whitey Bell,2,7.55,183
1,337,0,Wilt Chamberlain*,16,26.29,33953
1,338,0,Bob Ferry,10,13.09,5780
1,339,0,Johnny Green,18,16.82,13958
1,340,0,Gene Guarilia,4,7.95,413
1,341,0,Tom Hawkins,10,10.76,6672
1,342,0,Bailey Howell*,12,18.91,17770
1,344,0,Rudy LaRusso,10,15.28,11507
1,346,0,Cal Ramsey,4,10.7,200
1,348,0,Joe Ruklick,3,8.8,398
1,349,0,Bobby Smith,2,0.35,37
1,350,0,Wayne Stevens,1,6.1,13
1,351,0,Tony Windis,1,7.5,36
1,352,0,Al Attles,11,11.05,6328
1,353,0,Bob Boozer,13,15.58,14172
1,354,0,Dave Budd,5,12.52,2505
1,355,0,Ralph Davis,2,9.05,1195
1,356,0,Swede Halbrook,2,10.25,786
1,357,0,Darrall Imhoff,14,10.58,5887
1,358,0,Ron Johnson,3,7.03,74
1,359,0,Howie Jolliff,3,6.8,388
1,360,0,Willie Jones,5,10.42,2016
1,361,0,Pickles Kennedy,1,3.8,12
1,362,0,Fred LaCour,3,11.03,940
1,363,0,George Lee,7,20.07,2229
1,367,0,Joe Roberts,3,10.1,1118
1,368,0,Oscar Robertson*,14,22.81,26710
1,369,0,Tom Sanders*,13,10.93,8766
1,370,0,Jerry West*,14,22.81,25192
1,371,0,Lenny Wilkens*,15,16.37,17772
1,372,0,Stacey Arceneaux,1,10.4,50
1,374,0,George Blaney,1,7.8,117
1,375,0,George Bon,1,0.1,4
1,376,0,Joe Buckhalter,2,5.85,375
1,377,0,Cleveland Buckner,2,14.85,411
1,378,0,Ed Burton,2,10.2,33
1,379,0,Donnie Butcher,7,9.9,2259
1,380,0,Al Butler,6,12.63,3109
1,381,0,Howie Carl,1,9.4,170
1,382,0,Jimmy Darrow,1,5.9,12
1,383,0,Johnny Egan,17,11.27,7249
1,384,0,Rich Eichhorst,1,12.2,2
1,386,0,Ron Horn,2,-0.15,77
1,389,0,Ted Luckenbill,2,8.0,196
1,390,0,Whitey Martin,1,5.4,227
1,391,0,Tom Meschery,10,13.08,9904
1,392,0,Paul Neumann,8,13.94,5953
1,393,0,Bevo Nordmann,8,9.6,1005
1,394,0,Chuck Osborne,1,4.7,5
1,395,0,Gary Phillips,5,8.02,2319
1,397,0,Ray Scott,11,15.48,11356
1,398,0,Lee Shaffer,3,13.93,3291
1,400,0,Adrian Smith,12,12.05,8940
1,401,0,Bill Smith,1,5.7,23
1,402,0,Sam Stith,1,7.9,141
1,403,0,Horace Walker,1,10.2,438
1,405,0,Wayne Yates,1,4.1,72
1,407,0,John Barnhill,9,10.88,4247
1,408,0,Zelmo Beaty*,8,16.46,9107
1,409,0,Bill Bridges,19,13.47,12924
1,410,0,Len Chappell,17,13.9,8139
1,411,0,Johnny Cox,1,10.3,573
1,412,0,Dave DeBusschere*,14,15.26,15294
1,414,0,Danny Doyle,1,22.2,16
1,415,0,Bob Duffy,6,10.13,632
1,416,0,Leroy Ellis,16,12.33,11147
1,417,0,Dave Fedor,1,2.2,6
1,418,0,Jack Foley,3,15.4,106
1,419,0,Dave Gunther,1,31.6,2
1,420,0,Charlie Hardnett,3,13.47,1198
1,422,0,Wayne Hightower,9,10.5,3978
1,423,0,Paul Hogue,4,4.1,435
1,424,0,Kevin Loughery,15,10.24,13118
1,426,0,Porter Meriwether,1,12.4,119
1,427,0,Howie Montgomery,1,9.9,144
1,428,0,Don Nelson*,14,15.71,10898
1,430,0,Bud Olsen,11,9.23,1827
1,431,0,John Rudometkin,5,10.48,960
1,432,0,Jeff Slade,1,5.8,4
1,433,0,Tom Stith,1,6.5,77
